Date Saved,10/24/2024 3:13:28 PM
Spectral Data 440[nm],0.157179325819
Spectral Data 441[nm],0.167904943228
Spectral Data 442[nm],0.178219363093
Spectral Data 443[nm],0.187885165215
Spectral Data 444[nm],0.196661263704
Spectral Data 445[nm],0.204308435321
Spectral Data 446[nm],0.210610553622
Spectral Data 447[nm],0.215380892158
Spectral Data 448[nm],0.218437209725
Spectral Data 449[nm],0.219597831368
Spectral Data 450[nm],0.218784481287
Spectral Data 451[nm],0.216092482209
Spectral Data 452[nm],0.211631327868
Spectral Data 453[nm],0.205511167645
Spectral Data 454[nm],0.197900280356
Spectral Data 455[nm],0.189078733325
Spectral Data 456[nm],0.179340034723
Spectral Data 457[nm],0.168977648020
Spectral Data 458[nm],0.158281445503
Spectral Data 459[nm],0.147532597184
Spectral Data 460[nm],0.137011095881
Spectral Data 461[nm],0.126996949315
Spectral Data 462[nm],0.117699794471
Spectral Data 463[nm],0.109122425318
Spectral Data 464[nm],0.101231805980
Spectral Data 465[nm],0.093994833529
Spectral Data 466[nm],0.087376862764
Spectral Data 467[nm],0.081341601908
Spectral Data 468[nm],0.075851358473
Spectral Data 469[nm],0.070868432522
Spectral Data 470[nm],0.066354915500
Spectral Data 471[nm],0.062268935144
Spectral Data 472[nm],0.058568287641
Spectral Data 473[nm],0.055210769176
Spectral Data 474[nm],0.052163034678
Spectral Data 475[nm],0.049441233277
Spectral Data 476[nm],0.047076296061
Spectral Data 477[nm],0.045099116862
Spectral Data 478[nm],0.043532192707
Spectral Data 479[nm],0.042345117778
Spectral Data 480[nm],0.041486911476
Spectral Data 481[nm],0.040906544775
Spectral Data 482[nm],0.040559880435
Spectral Data 483[nm],0.040452938527
Spectral Data 484[nm],0.040616057813
Spectral Data 485[nm],0.041079841554
Spectral Data 486[nm],0.041871618479
Spectral Data 487[nm],0.042990885675
Spectral Data 488[nm],0.044421195984
Spectral Data 489[nm],0.046145811677
Spectral Data 490[nm],0.048147793859
Spectral Data 491[nm],0.050405193120
Spectral Data 492[nm],0.052892856300
Spectral Data 493[nm],0.055585667491
Spectral Data 494[nm],0.058458045125
Spectral Data 495[nm],0.061477363110
Spectral Data 496[nm],0.064605429769
Spectral Data 497[nm],0.067803904414
Spectral Data 498[nm],0.071034967899
Spectral Data 499[nm],0.074272401631
Spectral Data 500[nm],0.077500939369
Spectral Data 501[nm],0.080705754459
Spectral Data 502[nm],0.083872109652
Spectral Data 503[nm],0.086989261210
Spectral Data 504[nm],0.090051040053
Spectral Data 505[nm],0.093051455915
Spectral Data 506[nm],0.095984667540
Spectral Data 507[nm],0.098849155009
